Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Length,IAT,labels
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,0,0,0,0,0,0,0,0,1228,0.0003383159637451,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,0,0,0,0,0,0,0,0,1228,0.0,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,0,0,0,0,0,0,0,0,410,0.0012106895446777,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,0,0,0,0,0,0,0,0,453,0.0,0
10.50.224.91,104.18.3.161,17,65013,443,2023-05-11 21:20:10,0,1,0,0,0,0,0,0,0,73,0.0367500782012939,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,0,0,0,0,0,0,0,0,459,0.0006554126739501,0
10.50.224.91,104.18.3.161,17,65013,443,2023-05-11 21:20:10,0,1,0,0,0,0,0,0,0,73,0.0006554126739501,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,0,0,0,0,0,0,0,0,1228,0.0244102478027343,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,0,0,0,0,0,0,0,0,1228,0.0,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,0,0,0,0,0,0,0,0,1228,0.0,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,0,0,0,0,0,0,0,0,1228,0.0240778923034667,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,0,0,0,0,0,0,0,0,1228,0.0,0
10.50.224.91,104.18.3.161,17,65013,443,2023-05-11 21:20:10,0,1,0,0,0,0,0,0,0,73,0.0295464992523193,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,0,0,0,0,0,0,0,0,1228,0.1530559062957763,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,0,0,0,0,0,0,0,0,1228,0.0,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,1,0,0,0,0,0,0,0,53,0.0243630409240722,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,0,0,0,0,0,0,0,0,497,0.0011942386627197,0
10.50.224.91,104.18.3.161,17,65013,443,2023-05-11 21:20:10,0,1,0,0,0,0,0,0,0,73,0.2285346984863281,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:10,0,0,0,0,0,0,0,0,0,503,0.0055761337280273,0
10.50.224.91,104.18.3.161,17,65013,443,2023-05-11 21:20:10,0,1,0,0,0,0,0,0,0,69,0.0,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.042137861251831,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.0259134769439697,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.0032119750976562,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.0,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.0,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.0,0
10.50.224.91,104.18.3.161,17,65013,443,2023-05-11 21:20:11,0,1,0,0,0,0,0,0,0,72,0.0354907512664794,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.0055420398712158,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.0010125637054443,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.0001890659332275,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.0,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.0,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.0,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.0,0
10.50.224.91,104.18.3.161,17,65013,443,2023-05-11 21:20:11,0,1,0,0,0,0,0,0,0,73,0.0,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.0066432952880859,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1228,0.001007080078125,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,1092,0.0,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,583,0.0,0
10.50.224.91,104.18.3.161,17,65013,443,2023-05-11 21:20:11,0,1,0,0,0,0,0,0,0,73,0.0021018981933593,0
10.50.224.91,104.18.3.161,17,65013,443,2023-05-11 21:20:11,0,1,0,0,0,0,0,0,0,69,0.220935583114624,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,1,0,0,0,0,0,0,0,53,0.1199464797973632,0
104.18.3.161,10.50.224.91,17,443,65013,2023-05-11 21:20:11,0,0,0,0,0,0,0,0,0,589,0.0021569728851318,0
