Source IP,Destination IP,Protocol,Source Port,Destination Port,Flow Duration,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,SYN ACK Count,CWE Flag Count,ECE Flag Count,Total Length,Flow Bytes/s,Flow Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,IAT,labels
142.250.76.142,172.30.1.12,17,443,56025,0.0388727188110351,2023-04-30 20:00:48,0,1,0,0,0,0,0,0,0,554,7125.820073109099,25.72498221339025,277,277,277.0,0.0,0.0388727188110351,0
142.250.76.142,172.30.1.12,17,443,56025,0.0,2023-04-30 20:00:48,0,1,0,0,0,0,0,0,0,814,0.0,0.0,407,407,407.0,0.0,0.0,0
172.30.1.12,142.250.76.142,17,56025,443,0.0969860553741455,2023-04-30 20:00:48,0,1,0,0,0,0,0,0,0,126,649.5779187736148,10.310760615454203,63,63,63.0,0.0,0.0969860553741455,2
142.250.76.142,172.30.1.12,17,443,56025,0.0010383129119873,2023-04-30 20:00:48,0,1,0,0,0,0,0,0,0,334,160837.83421354764,963.100803673938,167,167,167.0,0.0,0.0010383129119873,0
172.30.1.12,142.250.76.142,17,56025,443,0.0010383129119873,2023-04-30 20:00:48,0,1,0,0,0,0,0,0,0,118,56822.94741676234,963.100803673938,59,59,59.0,0.0,0.0010383129119873,2
172.30.1.12,142.250.206.206,17,52061,443,0.0316536426544189,2023-04-30 20:00:48,0,1,0,0,0,0,0,0,0,216,3411.92958987685,31.59194064700787,108,108,108.0,0.0,0.0316536426544189,2
142.250.206.206,172.30.1.12,17,443,52061,0.0080008506774902,2023-04-30 20:00:48,0,1,0,0,0,0,0,0,0,2556,159733.01483997854,124.986709577448,1278,1278,1278.0,0.0,0.0080008506774902,0
142.250.206.206,172.30.1.12,17,443,52061,0.0,2023-04-30 20:00:48,0,1,0,0,0,0,0,0,0,106,0.0,0.0,53,53,53.0,0.0,0.0,0
172.30.1.12,142.250.206.206,17,52061,443,0.0375800132751464,2023-04-30 20:00:48,0,1,0,0,0,0,0,0,0,118,1569.9834794635267,26.609889482432656,59,59,59.0,0.0,0.0375800132751464,2
172.30.1.12,142.250.206.206,17,52061,443,0.0,2023-04-30 20:00:48,0,1,0,0,0,0,0,0,0,2556,0.0,0.0,1278,1278,1278.0,0.0,0.0,1
172.30.1.12,142.250.206.206,17,52061,443,0.0,2023-04-30 20:00:48,0,1,0,0,0,0,0,0,0,558,0.0,0.0,279,279,279.0,0.0,0.0,2
142.250.206.206,172.30.1.12,17,443,52061,0.009002685546875,2023-04-30 20:00:48,0,1,0,0,0,0,0,0,0,114,6331.44406779661,111.07796610169493,57,57,57.0,0.0,0.009002685546875,0
