Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Length,IAT,labels
10.50.224.91,51.11.192.48,6,59433,443,2023-05-25 22:11:04,0,1,0,0,1,0,0,0,1,40,0.1709694862365722,0
10.50.224.91,51.11.192.48,6,59434,443,2023-05-25 22:11:04,0,1,0,0,1,0,0,0,1,40,0.2249941825866699,0
51.11.192.48,10.50.224.91,6,443,59433,2023-05-25 22:11:04,0,1,0,0,1,0,0,0,1,1500,0.2440361976623535,0
51.11.192.48,10.50.224.91,6,443,59433,2023-05-25 22:11:04,0,1,0,0,1,0,0,0,1,1500,0.0,0
51.11.192.48,10.50.224.91,6,443,59433,2023-05-25 22:11:04,0,1,0,1,1,0,0,0,1,492,0.0,0
10.50.224.91,51.11.192.48,6,59433,443,2023-05-25 22:11:04,0,1,0,0,1,0,0,0,1,40,0.2350335121154785,0
51.11.192.48,10.50.224.91,6,443,59434,2023-05-25 22:11:04,0,1,0,0,1,0,0,0,1,1500,0.2260832786560058,0
51.11.192.48,10.50.224.91,6,443,59434,2023-05-25 22:11:04,0,1,0,0,1,0,0,0,1,1500,0.0,0
51.11.192.48,10.50.224.91,6,443,59434,2023-05-25 22:11:04,0,1,0,1,1,0,0,0,1,492,0.0010004043579101,0
10.50.224.91,51.11.192.48,6,59434,443,2023-05-25 22:11:04,0,1,0,0,1,0,0,0,1,40,0.229083776473999,0
10.50.224.91,51.11.192.48,6,59433,443,2023-05-25 22:11:04,0,1,0,1,1,0,0,0,1,1339,0.2334239482879638,0
51.11.192.48,10.50.224.91,6,443,59433,2023-05-25 22:11:05,0,1,0,0,1,0,0,0,1,40,0.2270739078521728,0
51.11.192.48,10.50.224.91,6,443,59433,2023-05-25 22:11:05,0,1,0,1,1,0,0,0,1,515,0.00105881690979,0
10.50.224.91,51.11.192.48,6,59434,443,2023-05-25 22:11:05,0,1,0,0,1,0,0,0,1,40,0.2726516723632812,0
10.50.224.91,51.11.192.48,6,59433,443,2023-05-25 22:11:05,0,1,0,0,1,0,0,0,1,40,0.2085664272308349,0
10.50.224.91,52.114.32.215,6,56370,443,2023-05-25 22:11:09,0,1,0,0,1,0,0,0,1,40,0.1893224716186523,0
10.50.224.91,52.114.40.53,6,56391,443,2023-05-25 22:11:17,0,1,0,0,1,0,0,0,1,40,0.1716253757476806,0
10.50.224.91,100.24.246.48,6,58431,443,2023-05-25 22:11:18,0,1,0,0,1,0,0,0,1,40,0.2509970664978027,0
10.50.224.91,52.0.218.127,6,58432,443,2023-05-25 22:11:20,0,1,0,1,1,0,0,0,1,937,2.9792275428771973,0
10.50.224.91,142.250.207.110,6,59388,443,2023-05-25 22:11:20,0,1,0,0,1,0,0,0,1,40,0.172243595123291,0
10.50.224.91,23.200.231.46,6,59441,443,2023-05-25 22:11:20,0,1,0,0,1,0,0,0,1,40,0.1261472702026367,0
