Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Length,IAT,labels
210.115.229.34,239.255.255.250,17,55947,1900,2023-08-24 13:29:39,0,0,0,0,0,0,0,0,0,203,1.0003173351287842,0
210.115.229.166,239.255.255.250,17,52008,1900,2023-08-24 13:29:39,0,0,0,0,0,0,0,0,0,203,1.0002052783966064,0
210.115.228.227,239.255.255.250,17,57281,1900,2023-08-24 13:29:40,0,0,0,0,0,0,0,0,0,192,0.999952793121338,0
210.115.226.114,239.255.255.250,17,64840,1900,2023-08-24 13:29:40,0,0,0,0,0,0,0,0,0,192,1.0157537460327148,0
210.115.229.251,239.255.255.250,17,62762,1900,2023-08-24 13:29:40,0,0,0,0,0,0,0,0,0,204,1.0158700942993164,0
210.115.227.113,239.255.255.250,17,57814,3702,2023-08-24 13:29:40,0,0,0,0,0,0,0,0,0,684,0.10925030708312987,0
210.115.229.34,239.255.255.250,17,55947,1900,2023-08-24 13:29:40,0,0,0,0,0,0,0,0,0,203,0.9999399185180664,0
210.115.227.114,239.255.255.250,17,50203,3702,2023-08-24 13:29:40,0,0,0,0,0,0,0,0,0,684,1.5000507831573486,0
210.115.229.166,239.255.255.250,17,52008,1900,2023-08-24 13:29:40,0,0,0,0,0,0,0,0,0,203,1.015634059906006,0
210.115.227.113,239.255.255.250,17,57814,3702,2023-08-24 13:29:41,0,0,0,0,0,0,0,0,0,684,0.20306658744812006,0
210.115.228.227,239.255.255.250,17,57281,1900,2023-08-24 13:29:41,0,0,0,0,0,0,0,0,0,192,1.0157501697540283,0
210.115.227.113,239.255.255.250,17,57814,3702,2023-08-24 13:29:41,0,0,0,0,0,0,0,0,0,684,0.42185235023498535,0
210.115.229.142,239.255.255.250,17,51950,1900,2023-08-24 13:29:41,0,0,0,0,0,0,0,0,0,203,1.0154569149017334,0
210.115.227.115,239.255.255.250,17,56811,3702,2023-08-24 13:29:41,0,0,0,0,0,0,0,0,0,684,0.2499690055847168,0
210.115.229.251,239.255.255.250,17,62762,1900,2023-08-24 13:29:41,0,0,0,0,0,0,0,0,0,204,0.9998981952667236,0
210.115.229.34,239.255.255.250,17,55947,1900,2023-08-24 13:29:41,0,0,0,0,0,0,0,0,0,203,1.0001041889190674,0
210.115.227.115,239.255.255.250,17,56811,3702,2023-08-24 13:29:41,0,0,0,0,0,0,0,0,0,684,0.4845156669616699,0
210.115.226.119,239.255.255.250,17,61954,1900,2023-08-24 13:29:41,0,0,0,0,0,0,0,0,0,203,1.000230073928833,0
210.115.229.166,239.255.255.250,17,52008,1900,2023-08-24 13:29:42,0,0,0,0,0,0,0,0,0,203,1.0158669948577879,0
210.115.228.227,239.255.255.250,17,57281,1900,2023-08-24 13:29:42,0,0,0,0,0,0,0,0,0,192,1.0156068801879885,0
210.115.228.150,239.255.255.250,17,45711,1900,2023-08-24 13:29:42,0,1,0,0,0,0,0,0,0,464,0.0,0
210.115.228.150,239.255.255.250,17,45711,1900,2023-08-24 13:29:42,0,1,0,0,0,0,0,0,0,507,0.0,0
210.115.227.113,239.255.255.250,17,57814,3702,2023-08-24 13:29:42,0,0,0,0,0,0,0,0,0,684,0.82840895652771,0
210.115.228.150,239.255.255.250,17,52472,1900,2023-08-24 13:29:42,0,1,0,0,0,0,0,0,0,464,0.0,0
210.115.228.150,239.255.255.250,17,52472,1900,2023-08-24 13:29:42,0,1,0,0,0,0,0,0,0,507,0.0,0
210.115.230.141,239.255.255.250,17,54833,1900,2023-08-24 13:29:42,0,1,0,0,0,0,0,0,0,376,0.0,0
210.115.230.141,239.255.255.250,17,54833,1900,2023-08-24 13:29:42,0,1,0,0,0,0,0,0,0,428,0.0,0
210.115.230.141,239.255.255.250,17,54833,1900,2023-08-24 13:29:42,0,1,0,0,0,0,0,0,0,440,0.0,0
210.115.230.141,239.255.255.250,17,54833,1900,2023-08-24 13:29:42,0,1,0,0,0,0,0,0,0,442,0.0,0
210.115.230.141,239.255.255.250,17,54833,1900,2023-08-24 13:29:42,0,1,0,0,0,0,0,0,0,456,0.0,0
210.115.229.142,239.255.255.250,17,51950,1900,2023-08-24 13:29:42,0,0,0,0,0,0,0,0,0,203,1.0155997276306152,0
210.115.229.251,239.255.255.250,17,62762,1900,2023-08-24 13:29:42,0,0,0,0,0,0,0,0,0,204,0.9999155998229979,0
210.115.227.115,239.255.255.250,17,50711,1900,2023-08-24 13:29:42,0,0,0,0,0,0,0,0,0,202,1.0156338214874268,0
210.115.227.114,239.255.255.250,17,50203,3702,2023-08-24 13:29:42,0,0,0,0,0,0,0,0,0,684,2.000227689743042,0
210.115.227.115,239.255.255.250,17,56811,3702,2023-08-24 13:29:42,0,0,0,0,0,0,0,0,0,684,0.952967405319214,0
210.115.226.119,239.255.255.250,17,61954,1900,2023-08-24 13:29:42,0,0,0,0,0,0,0,0,0,203,0.9998099803924559,0
210.115.229.142,239.255.255.250,17,51950,1900,2023-08-24 13:29:43,0,0,0,0,0,0,0,0,0,203,1.015486478805542,0
210.115.227.102,239.255.255.250,17,62359,3702,2023-08-24 13:29:43,0,0,0,0,0,0,0,0,0,684,2.0154988765716557,0
210.115.227.115,239.255.255.250,17,50711,1900,2023-08-24 13:29:43,0,0,0,0,0,0,0,0,0,202,0.9997036457061768,0
210.115.227.113,239.255.255.250,17,57814,3702,2023-08-24 13:29:43,0,0,0,0,0,0,0,0,0,684,1.6246867179870603,0
210.115.226.119,239.255.255.250,17,61954,1900,2023-08-24 13:29:43,0,0,0,0,0,0,0,0,0,203,0.9998786449432372,0
210.115.229.47,239.255.255.250,17,62407,1900,2023-08-24 13:29:44,0,0,0,0,0,0,0,0,0,204,1.0089643001556396,0
210.115.227.114,239.255.255.250,17,50205,1900,2023-08-24 13:29:44,0,0,0,0,0,0,0,0,0,203,1.0128633975982666,0
210.115.227.115,239.255.255.250,17,56811,3702,2023-08-24 13:29:44,0,0,0,0,0,0,0,0,0,684,1.9068343639373782,0
210.115.230.5,239.255.255.250,17,48684,1900,2023-08-24 13:29:44,0,1,0,0,0,0,0,0,0,501,0.0,0
210.115.230.5,239.255.255.250,17,48684,1900,2023-08-24 13:29:44,0,1,0,0,0,0,0,0,0,542,0.0009989738464355467,0
210.115.227.115,239.255.255.250,17,50711,1900,2023-08-24 13:29:44,0,0,0,0,0,0,0,0,0,202,1.0046014785766602,0
210.115.228.245,255.255.255.255,17,54896,1900,2023-08-24 13:29:44,0,1,0,0,0,0,0,0,0,201,0.0167388916015625,0
210.115.227.114,239.255.255.250,17,50203,3702,2023-08-24 13:29:44,0,0,0,0,0,0,0,0,0,684,2.0223193168640137,0
210.115.230.5,239.255.255.250,17,46823,1900,2023-08-24 13:29:44,0,1,0,0,0,0,0,0,0,501,0.0009963512420654297,0
210.115.230.5,239.255.255.250,17,46823,1900,2023-08-24 13:29:44,0,1,0,0,0,0,0,0,0,542,0.003026723861694336,0
210.115.229.47,239.255.255.250,17,62407,1900,2023-08-24 13:29:45,0,0,0,0,0,0,0,0,0,204,1.0021476745605469,0
