Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Length,IAT,labels
210.115.230.220,239.192.152.143,17,6771,6771,2023-08-23 19:18:10,0,0,0,0,0,0,0,0,0,165,0.0,0
210.115.229.182,239.255.255.250,17,54523,1900,2023-08-23 19:18:11,0,0,0,0,0,0,0,0,0,203,0.9997849464416504,0
210.115.229.165,239.255.255.250,17,55589,1900,2023-08-23 19:18:11,0,0,0,0,0,0,0,0,0,202,1.0153036117553709,0
210.115.228.229,239.255.255.250,17,61441,1900,2023-08-23 19:18:11,0,0,0,0,0,0,0,0,0,204,1.0465538501739502,0
210.115.230.112,239.255.255.250,17,50244,1900,2023-08-23 19:18:11,0,0,0,0,0,0,0,0,0,203,1.0259256362915041,0
210.115.229.123,239.255.255.250,17,61281,1900,2023-08-23 19:18:11,0,0,0,0,0,0,0,0,0,203,0.9996604919433594,0
210.115.228.157,239.255.255.250,17,50766,1900,2023-08-23 19:18:11,0,0,0,0,0,0,0,0,0,202,1.0134801864624023,0
210.115.229.51,239.255.255.250,17,55924,1900,2023-08-23 19:18:12,0,0,0,0,0,0,0,0,0,203,1.0156137943267822,0
210.115.229.182,239.255.255.250,17,54523,1900,2023-08-23 19:18:12,0,0,0,0,0,0,0,0,0,203,1.0001974105834959,0
210.115.228.229,239.255.255.250,17,61441,1900,2023-08-23 19:18:12,0,0,0,0,0,0,0,0,0,204,1.0002319812774658,0
210.115.230.112,239.255.255.250,17,50244,1900,2023-08-23 19:18:12,0,0,0,0,0,0,0,0,0,203,1.0002319812774658,0
210.115.229.123,239.255.255.250,17,61281,1900,2023-08-23 19:18:12,0,0,0,0,0,0,0,0,0,203,1.0158548355102541,0
210.115.228.157,239.255.255.250,17,50766,1900,2023-08-23 19:18:12,0,0,0,0,0,0,0,0,0,202,0.989924430847168,0
210.115.230.166,239.255.255.250,17,60275,1900,2023-08-23 19:18:13,0,0,0,0,0,0,0,0,0,204,1.0001189708709717,0
210.115.229.182,239.255.255.250,17,54523,1900,2023-08-23 19:18:13,0,0,0,0,0,0,0,0,0,203,1.0021030902862549,0
210.115.226.114,255.255.255.255,17,17500,17500,2023-08-23 19:18:13,0,0,0,0,0,0,0,0,0,188,0.0,0
210.115.226.114,255.255.255.255,17,17500,17500,2023-08-23 19:18:13,0,0,0,0,0,0,0,0,0,188,0.0,0
210.115.226.114,255.255.255.255,17,17500,17500,2023-08-23 19:18:13,0,0,0,0,0,0,0,0,0,188,0.0,0
210.115.226.114,255.255.255.255,17,17500,17500,2023-08-23 19:18:13,0,0,0,0,0,0,0,0,0,188,0.0,0
210.115.228.157,239.255.255.250,17,50766,1900,2023-08-23 19:18:13,0,0,0,0,0,0,0,0,0,202,0.9946112632751464,0
210.115.230.254,239.255.255.250,17,52782,1900,2023-08-23 19:18:14,0,1,0,0,0,0,0,0,0,505,0.0,0
210.115.230.254,239.255.255.250,17,52782,1900,2023-08-23 19:18:14,0,1,0,0,0,0,0,0,0,546,0.0,0
210.115.230.254,239.255.255.250,17,54242,1900,2023-08-23 19:18:14,0,1,0,0,0,0,0,0,0,505,0.0,0
210.115.230.254,239.255.255.250,17,54242,1900,2023-08-23 19:18:14,0,1,0,0,0,0,0,0,0,546,0.0,0
210.115.230.166,239.255.255.250,17,60275,1900,2023-08-23 19:18:14,0,0,0,0,0,0,0,0,0,204,1.0157248973846436,0
