Source IP,Destination IP,Protocol,Timestamp,Source Port,Destination Port,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Length,IAT,SYN_ACK_Count,labels
192.168.10.3,192.168.10.1,17,2017-05-07 08:48:00,61172,53,0,0,0,0,0,0,0,0,58.33333333,48259,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:44:00,60211,53,0,0,0,0,0,0,0,0,69.33333333,49645,0,0
34.203.162.151,192.168.10.9,6,2017-05-07 09:10:00,443,14811,0,0,0,0,1,0,0,0,12.25,4,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 09:03:00,62526,53,0,0,0,0,0,0,0,0,75.33333333,77767,0,0
192.168.10.9,63.251.98.12,6,2017-05-07 09:10:00,14789,443,0,0,0,0,1,0,0,0,6.0,201329,0,0
192.168.10.12,212.71.252.71,6,2017-05-07 09:09:00,47098,80,0,0,0,1,0,0,0,0,27.80952381,65308335,0,0
192.168.10.9,178.255.83.1,6,2017-05-07 09:10:00,14804,80,0,0,0,1,0,0,0,0,131.2,1970451,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 09:03:00,60570,53,0,0,0,0,0,0,0,0,94.33333333,690584,0,0
192.168.10.12,199.127.204.186,6,2017-05-07 09:09:00,56432,80,0,0,0,1,0,0,0,0,41.85714286,65311980,0,0
192.168.10.9,34.225.206.80,6,2017-05-07 09:10:00,14835,443,0,0,0,1,0,0,0,0,2.4,461433,0,0
192.168.10.9,34.225.206.80,6,2017-05-07 09:10:00,14837,443,0,0,0,1,0,0,0,0,2.4,461105,0,0
192.168.10.9,69.166.1.10,6,2017-05-07 09:10:00,14793,443,0,0,0,1,0,0,0,0,435.0625,2853687,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:54:00,60160,53,0,0,0,0,0,0,0,0,87.66666667,51075,0,0
192.168.10.9,172.217.12.164,6,2017-05-07 09:10:00,14819,443,0,0,0,1,0,0,0,0,202.6538462,1722486,0,0
192.168.10.9,34.225.206.80,6,2017-05-07 09:10:00,14849,443,0,0,0,1,0,0,0,0,2.4,262767,0,0
192.168.10.9,178.255.83.1,6,2017-05-07 09:10:00,14804,80,0,0,0,0,1,0,0,0,6.0,459905,0,0
192.168.10.9,192.168.10.3,17,2017-05-07 08:47:00,55550,53,0,0,0,0,0,0,0,0,71.4,78756,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:51:00,61386,53,0,0,0,0,0,0,0,0,57.66666667,75828,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 09:03:00,62391,53,0,0,0,0,0,0,0,0,62.33333333,24909,0,0
192.168.10.9,69.166.1.10,6,2017-05-07 09:10:00,14793,443,0,0,0,0,1,0,0,0,6.0,228907,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:47:00,60499,53,0,0,0,0,0,0,0,0,73.0,51509,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:43:00,62098,53,0,0,0,0,0,0,0,0,60.33333333,75948,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 09:02:00,61727,53,0,0,0,0,0,0,0,0,84.66666667,23199,0,0
192.168.10.9,8.43.72.112,6,2017-05-07 09:10:00,14706,443,0,0,0,1,0,0,0,0,480.45,6220021,0,0
192.168.10.9,8.43.72.112,6,2017-05-07 09:10:00,14702,443,0,0,0,1,0,0,0,0,486.85,6220831,0,0
192.168.10.9,54.192.36.242,6,2017-05-07 09:10:00,14718,80,0,0,0,1,0,0,0,0,1.714285714,5590139,0,0
192.168.10.9,8.43.72.112,6,2017-05-07 09:10:00,14704,443,0,0,0,1,0,0,0,0,437.5,6221655,0,0
192.168.10.9,52.94.232.33,6,2017-05-07 09:10:00,14691,443,0,0,0,1,0,0,0,0,326.2352941,6335583,0,0
192.168.10.9,8.43.72.112,6,2017-05-07 09:10:00,14714,443,0,0,0,1,0,0,0,0,229.9333333,5934329,0,0
192.168.10.9,8.43.72.112,6,2017-05-07 09:10:00,14703,443,0,0,0,1,0,0,0,0,441.9444444,6222336,0,0
192.168.10.9,8.43.72.112,6,2017-05-07 09:10:00,14705,443,0,0,0,1,0,0,0,0,523.0952381,6223370,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:53:00,61613,53,0,0,0,0,0,0,0,0,122.6666667,24039,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 09:07:00,61635,53,0,0,0,0,0,0,0,0,86.33333333,1997,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 09:00:00,62208,53,0,0,0,0,0,0,0,0,51.33333333,583,0,0
192.168.10.9,192.168.10.3,17,2017-05-07 09:02:00,61758,53,0,0,0,0,0,0,0,0,40.4,23708,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:50:00,60660,53,0,0,0,0,0,0,0,0,87.0,48209,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:54:00,61403,53,0,0,0,0,0,0,0,0,79.33333333,50078,0,0
192.168.10.9,192.168.10.3,17,2017-05-07 08:51:00,56286,53,0,0,0,0,0,0,0,0,53.0,158,0,0
192.168.10.9,192.168.10.3,17,2017-05-07 08:55:00,62409,53,0,0,0,0,0,0,0,0,78.2,73484,0,0
