Source IP,Destination IP,Protocol,Timestamp,Source Port,Destination Port,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Length,IAT,SYN_ACK_Count,labels
192.168.10.3,192.168.10.1,17,2017-05-07 08:53:00,61051,53,0,0,0,0,0,0,0,0,81.66666667,69818,0,0
192.168.10.9,172.217.12.174,6,2017-05-07 08:55:00,14369,443,0,0,0,1,0,0,0,0,150.1551724,118388189,0,0
192.168.10.9,172.217.10.138,6,2017-05-07 08:55:00,14404,443,0,0,0,1,0,0,0,0,174.0909091,116912526,0,0
192.168.10.9,151.101.2.2,6,2017-05-07 08:55:00,14387,443,0,0,0,1,0,0,0,0,286.0333333,117934861,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:55:00,61017,53,0,0,0,0,0,0,0,0,57.33333333,23309,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:51:00,61075,53,0,0,0,0,0,0,0,0,114.3333333,46930,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:54:00,61514,53,0,0,0,0,0,0,0,0,65.33333333,50075,0,0
192.168.10.9,216.58.212.131,6,2017-05-07 08:58:00,14255,443,0,1,0,0,1,0,0,0,32.42857143,4444768,1,0
192.168.10.9,198.232.125.123,6,2017-05-07 08:58:00,14214,443,0,1,0,0,1,0,0,0,32.42857143,5459108,1,0
198.232.125.123,192.168.10.9,6,2017-05-07 08:58:00,443,14214,0,0,0,0,1,0,0,0,6.0,3,0,0
216.58.212.131,192.168.10.9,6,2017-05-07 08:58:00,443,14255,0,0,0,0,1,0,0,0,6.0,812,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:47:00,61534,53,0,0,0,0,0,0,0,0,63.4,1326973,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:51:00,60200,53,0,0,0,0,0,0,0,0,76.33333333,146267,0,0
192.168.10.16,38.126.113.10,17,2017-05-07 08:55:00,123,123,0,0,0,0,0,0,0,0,48.0,66088404,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:49:00,62186,53,0,0,0,0,0,0,0,0,87.6,6834279,0,0
192.168.10.17,178.255.83.1,6,2017-05-07 08:58:00,38399,80,0,0,0,1,0,0,0,0,129.8,2806628,0,0
192.168.10.17,178.255.83.1,6,2017-05-07 08:58:00,38399,80,0,0,0,0,1,0,0,0,0.0,210,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:54:00,60352,53,0,0,0,0,0,0,0,0,89.0,23383,0,0
192.168.10.9,66.235.147.240,6,2017-05-07 08:58:00,14257,443,0,1,0,0,1,0,0,0,32.42857143,5447046,1,0
192.168.10.17,183.111.96.91,6,2017-05-07 08:58:00,36597,443,0,0,0,1,0,0,0,0,578.8888889,633410,0,0
192.168.10.17,183.111.96.91,6,2017-05-07 08:58:00,36597,443,0,0,0,0,1,0,0,0,0.0,232,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:54:00,60078,53,0,0,0,0,0,0,0,0,57.33333333,74820,0,0
66.235.147.240,192.168.10.9,6,2017-05-07 08:58:00,443,14257,0,0,0,0,1,0,0,0,12.25,227,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:55:00,61849,53,0,0,0,0,0,0,0,0,71.33333333,25025,0,0
192.168.10.9,199.59.148.12,6,2017-05-07 08:58:00,14315,443,0,1,0,0,1,0,0,0,32.42857143,4491553,1,0
192.168.10.9,52.84.145.175,6,2017-05-07 08:58:00,14326,443,0,1,0,0,1,0,0,0,29.125,5505765,1,0
192.168.10.9,107.178.244.119,6,2017-05-07 08:58:00,14323,443,0,1,0,0,1,0,0,0,32.42857143,4492002,1,0
192.168.10.9,199.59.149.200,6,2017-05-07 08:58:00,14316,443,0,1,0,0,1,0,0,0,30.33333333,5506280,1,0
192.168.10.9,172.217.11.34,6,2017-05-07 08:58:00,14332,443,0,1,0,0,1,0,0,0,29.125,5506233,1,0
192.168.10.9,172.217.6.226,6,2017-05-07 08:58:00,14333,443,0,1,0,0,1,0,0,0,29.125,5506533,1,0
52.84.145.175,192.168.10.9,6,2017-05-07 08:58:00,443,14326,0,0,0,0,1,0,0,0,6.0,3,0,0
172.217.6.226,192.168.10.9,6,2017-05-07 08:58:00,443,14333,0,0,0,0,1,0,0,0,6.0,3,0,0
172.217.11.34,192.168.10.9,6,2017-05-07 08:58:00,443,14332,0,0,0,0,1,0,0,0,6.0,3,0,0
107.178.244.119,192.168.10.9,6,2017-05-07 08:58:00,443,14323,0,0,0,0,1,0,0,0,6.0,35223,0,0
199.59.148.12,192.168.10.9,6,2017-05-07 08:58:00,443,14315,0,0,0,0,1,0,0,0,11.0,36514,0,0
199.59.149.200,192.168.10.9,6,2017-05-07 08:58:00,443,14316,0,0,0,0,1,0,0,0,11.0,39598,0,0
107.178.244.119,192.168.10.9,6,2017-05-07 08:58:00,443,14323,0,0,0,0,1,0,0,0,6.0,391733,0,0
192.168.10.15,192.168.10.3,17,2017-05-07 08:51:00,56147,53,0,0,0,0,0,0,0,0,150.4,60266,0,0
192.168.10.16,159.203.8.72,17,2017-05-07 08:55:00,123,123,0,0,0,0,0,0,0,0,48.0,66022762,0,0
192.168.10.9,31.13.80.36,6,2017-05-07 08:58:00,14314,443,0,1,0,0,1,0,0,0,31.9,6464513,1,0
192.168.10.9,172.217.6.226,6,2017-05-07 08:58:00,14325,443,0,1,0,0,1,0,0,0,32.42857143,5488800,1,0
192.168.10.9,31.13.80.36,6,2017-05-07 08:58:00,14314,443,0,0,0,0,1,0,0,0,6.0,38116,0,0
192.168.10.9,172.217.11.36,6,2017-05-07 08:58:00,14348,443,0,1,0,0,1,0,0,0,32.42857143,6503059,1,0
192.168.10.9,172.217.10.102,6,2017-05-07 08:58:00,14290,443,0,1,0,0,1,0,0,0,32.42857143,6503209,1,0
192.168.10.9,172.217.12.195,6,2017-05-07 08:58:00,14355,443,0,1,0,0,1,0,0,0,32.42857143,5489536,1,0
172.217.6.226,192.168.10.9,6,2017-05-07 08:58:00,443,14325,0,0,0,0,1,0,0,0,6.0,20906,0,0
172.217.11.36,192.168.10.9,6,2017-05-07 08:58:00,443,14348,0,0,0,0,1,0,0,0,6.0,20725,0,0
172.217.12.195,192.168.10.9,6,2017-05-07 08:58:00,443,14355,0,0,0,0,1,0,0,0,6.0,22283,0,0
172.217.10.102,192.168.10.9,6,2017-05-07 08:58:00,443,14290,0,0,0,0,1,0,0,0,6.0,20508,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:53:00,61364,53,0,0,0,0,0,0,0,0,80.66666667,46208,0,0
192.168.10.17,183.111.25.110,6,2017-05-07 08:58:00,37607,443,0,0,0,1,0,0,0,0,39.81818182,5549281,0,0
192.168.10.17,72.21.91.29,6,2017-05-07 08:58:00,56545,80,0,0,0,1,0,0,0,0,0.0,5797952,0,0
192.168.10.17,172.217.6.238,6,2017-05-07 08:58:00,46517,80,0,0,0,1,0,0,0,0,0.0,5549315,0,0
192.168.10.17,104.88.73.124,6,2017-05-07 08:58:00,43831,443,0,0,0,1,0,0,0,0,66.16666667,5921202,0,0
192.168.10.17,104.88.73.124,6,2017-05-07 08:58:00,43827,443,0,0,0,1,0,0,0,0,66.16666667,5946491,0,0
104.88.73.124,192.168.10.17,6,2017-05-07 08:58:00,443,43831,0,0,0,0,1,0,0,0,7.4,215,0,0
104.88.73.124,192.168.10.17,6,2017-05-07 08:58:00,443,43827,0,0,0,0,1,0,0,0,7.75,274,0,0
192.168.10.9,172.217.12.174,6,2017-05-07 08:58:00,14369,443,0,1,0,0,1,0,0,0,32.42857143,5465622,1,0
192.168.10.9,151.101.2.2,6,2017-05-07 08:58:00,14387,443,0,1,0,0,1,0,0,0,32.42857143,5465699,1,0
192.168.10.9,172.217.6.238,6,2017-05-07 08:57:00,14216,443,0,1,0,0,1,0,0,0,30.91666667,63576423,1,0
151.101.2.2,192.168.10.9,6,2017-05-07 08:58:00,443,14387,0,0,0,0,1,0,0,0,12.25,5,0,0
192.168.10.5,52.55.138.44,6,2017-05-07 08:55:00,49750,443,0,0,0,1,0,0,0,0,197.1071429,118123458,0,0
172.217.6.238,192.168.10.9,6,2017-05-07 08:58:00,443,14216,0,0,0,0,1,0,0,0,6.0,1,0,0
172.217.12.174,192.168.10.9,6,2017-05-07 08:58:00,443,14369,0,0,0,0,1,0,0,0,6.0,1,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:51:00,62165,53,0,0,0,0,0,0,0,0,81.0,109651,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:53:00,60957,53,0,0,0,0,0,0,0,0,66.66666667,108565,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:54:00,62521,53,0,0,0,0,0,0,0,0,122.3333333,25642,0,0
183.111.25.110,192.168.10.17,6,2017-05-07 08:58:00,443,37607,0,0,0,0,1,0,0,0,49.4,6,0,0
192.168.10.17,23.50.75.27,6,2017-05-07 08:58:00,49939,80,0,0,0,1,0,0,0,0,0.0,5886978,0,0
192.168.10.17,183.111.25.111,6,2017-05-07 08:58:00,37038,443,0,0,0,1,0,0,0,0,383.5882353,6299656,0,0
192.168.10.9,172.217.10.138,6,2017-05-07 08:58:00,14404,443,0,1,0,0,1,0,0,0,32.42857143,6454300,1,0
172.217.10.138,192.168.10.9,6,2017-05-07 08:58:00,443,14404,0,0,0,0,1,0,0,0,6.0,3,0,0
192.168.10.5,172.217.11.2,6,2017-05-07 08:55:00,49418,443,0,1,0,0,1,0,0,0,79.46666667,118065362,1,0
183.111.25.111,192.168.10.17,6,2017-05-07 08:58:00,443,37038,0,1,0,0,1,0,0,0,115.75,5,1,0
192.168.10.12,50.31.164.173,6,2017-05-07 08:56:00,36772,443,0,0,0,0,1,0,0,0,156.8333333,118052039,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:55:00,62331,53,0,0,0,0,0,0,0,0,112.6666667,373460,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:49:00,62411,53,0,0,0,0,0,0,0,0,86.33333333,149859,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:51:00,62200,53,0,0,0,0,0,0,0,0,96.33333333,46563,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:54:00,62542,53,0,0,0,0,0,0,0,0,65.66666667,884,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:53:00,61646,53,0,0,0,0,0,0,0,0,81.66666667,53166,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:47:00,60821,53,0,0,0,0,0,0,0,0,104.3333333,23259,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:54:00,61972,53,0,0,0,0,0,0,0,0,63.33333333,50866,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:54:00,60796,53,0,0,0,0,0,0,0,0,75.0,176106,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:54:00,61183,53,0,0,0,0,0,0,0,0,125.6,56826659,0,0
192.168.10.3,192.168.10.1,17,2017-05-07 08:54:00,60179,53,0,0,0,0,0,0,0,0,87.71428571,101792423,0,0
