Source IP,Destination IP,Protocol,Source Port,Destination Port,Flow Duration,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,SYN ACK Count,CWE Flag Count,ECE Flag Count,Total Length,Flow Bytes/s,Flow Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,IAT,labels
142.250.76.142,172.30.1.12,17,443,56025,0.038872719,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,554,7125.820073,25.72498221,277,277,277,0,0.038872719,0
142.250.76.142,172.30.1.12,17,443,56025,0.0,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,814,0.0,0.0,407,407,407,0,0.0,0
172.30.1.12,142.250.76.142,17,56025,443,0.096986055,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,126,649.5779188,10.31076062,63,63,63,0,0.096986055,2
142.250.76.142,172.30.1.12,17,443,56025,0.001038313,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,334,160837.8342,963.1008037,167,167,167,0,0.001038313,0
172.30.1.12,142.250.76.142,17,56025,443,0.001038313,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,118,56822.94742,963.1008037,59,59,59,0,0.001038313,2
172.30.1.12,142.250.206.206,17,52061,443,0.031653643,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,216,3411.92959,31.59194065,108,108,108,0,0.031653643,2
142.250.206.206,172.30.1.12,17,443,52061,0.008000851,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,2556,159733.0148,124.9867096,1278,1278,1278,0,0.008000851,0
142.250.206.206,172.30.1.12,17,443,52061,0.0,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,106,0.0,0.0,53,53,53,0,0.0,0
172.30.1.12,142.250.206.206,17,52061,443,0.037580013,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,118,1569.983479,26.60988948,59,59,59,0,0.037580013,2
172.30.1.12,142.250.206.206,17,52061,443,0.0,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,2556,0.0,0.0,1278,1278,1278,0,0.0,1
172.30.1.12,142.250.206.206,17,52061,443,0.0,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,558,0.0,0.0,279,279,279,0,0.0,2
142.250.206.206,172.30.1.12,17,443,52061,0.009002686,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,114,6331.444068,111.0779661,57,57,57,0,0.009002686,0
142.250.206.206,172.30.1.12,17,443,52061,0.030670643,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,1172,19106.21837,32.60446821,586,586,586,0,0.030670643,0
172.30.1.12,142.250.206.206,17,52061,443,0.035676479,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,126,1765.869311,28.02967161,63,63,63,0,0.035676479,2
