Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Length,IAT,labels
170.114.52.5,10.50.211.217,6,443,55337,2023-05-30 13:59:19,0,1,0,0,1,0,0,0,1,40,5.131170511245728,0
10.50.211.217,170.114.52.5,6,55337,443,2023-05-30 13:59:19,0,1,0,0,1,0,0,0,1,40,5.1311118602752686,0
170.114.15.96,10.50.211.217,6,443,54900,2023-05-30 13:59:24,0,1,0,1,1,0,0,0,1,235,0.0267677307128906,0
10.50.211.217,170.114.15.96,6,54900,443,2023-05-30 13:59:24,0,0,0,0,1,0,0,0,0,40,0.246845006942749,0
10.50.211.217,27.0.238.92,6,54943,443,2023-05-30 13:59:26,0,1,0,0,1,0,0,0,1,40,0.064014196395874,0
170.114.52.5,10.50.211.217,6,443,55337,2023-05-30 13:59:29,0,1,0,0,1,0,0,0,1,40,5.2248618602752686,0
10.50.211.217,170.114.52.5,6,55337,443,2023-05-30 13:59:29,0,1,0,0,1,0,0,0,1,40,5.2178730964660645,0
27.0.238.92,10.50.211.217,6,443,54943,2023-05-30 13:59:36,0,1,0,1,1,0,0,0,1,137,10.2539644241333,0
10.50.211.217,27.0.238.92,6,54943,443,2023-05-30 13:59:36,0,1,0,0,1,0,0,0,1,40,0.0573790073394775,0
121.53.203.203,10.50.211.217,6,443,54936,2023-05-30 13:59:37,0,1,0,1,1,0,0,0,1,99,0.0345523357391357,0
121.53.203.203,10.50.211.217,6,443,54936,2023-05-30 13:59:37,0,1,0,1,1,0,0,0,1,71,0.0,0
10.50.211.217,121.53.203.203,6,54936,443,2023-05-30 13:59:37,0,1,0,0,1,0,0,0,1,40,0.0580813884735107,0
10.50.211.217,13.76.153.29,6,54908,443,2023-05-30 13:59:39,0,1,0,0,1,0,0,0,1,40,0.1105628013610839,0
170.114.52.5,10.50.211.217,6,443,55337,2023-05-30 13:59:39,0,1,0,0,1,0,0,0,1,40,5.11684775352478,0
10.50.211.217,170.114.52.5,6,55337,443,2023-05-30 13:59:39,0,1,0,0,1,0,0,0,1,40,5.125176668167114,0
121.53.203.203,10.50.211.217,6,443,54936,2023-05-30 13:59:45,0,1,0,0,1,0,0,0,1,1500,0.0130434036254882,0
121.53.203.203,10.50.211.217,6,443,54936,2023-05-30 13:59:45,0,1,0,0,1,0,0,0,1,1500,0.0011889934539794,0
121.53.203.203,10.50.211.217,6,443,54936,2023-05-30 13:59:45,0,1,0,0,1,0,0,0,1,1500,0.0010056495666503,0
121.53.203.203,10.50.211.217,6,443,54936,2023-05-30 13:59:45,0,1,0,0,1,0,0,0,1,1500,0.0,0
121.53.203.203,10.50.211.217,6,443,54936,2023-05-30 13:59:45,0,1,0,0,1,0,0,0,1,1500,0.0010042190551757,0
10.50.211.217,121.53.203.203,6,54936,443,2023-05-30 13:59:45,0,1,0,0,1,0,0,0,1,40,0.0481011867523193,0
121.53.203.203,10.50.211.217,6,443,54936,2023-05-30 13:59:45,0,1,0,0,1,0,0,0,1,1500,0.0914933681488037,0
10.50.211.217,27.0.236.54,6,55621,443,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.0,0
10.50.211.217,27.0.236.54,6,55620,443,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.0070695877075195,0
10.50.211.217,27.0.236.54,6,55622,443,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.0070695877075195,0
10.50.211.217,27.0.236.54,6,55623,443,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.011709451675415,0
27.0.236.54,10.50.211.217,6,443,55621,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.0142598152160644,0
27.0.236.54,10.50.211.217,6,443,55620,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.0142598152160644,0
27.0.236.54,10.50.211.217,6,443,55622,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.0162034034729003,0
27.0.236.54,10.50.211.217,6,443,55621,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0015108585357666,0
27.0.236.54,10.50.211.217,6,443,55620,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0,0
10.50.211.217,27.0.236.54,6,55621,443,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.0142798423767089,0
10.50.211.217,27.0.236.54,6,55620,443,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.0157887935638427,0
27.0.236.54,10.50.211.217,6,443,55623,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.0128810405731201,0
27.0.236.54,10.50.211.217,6,443,55622,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.001476764678955,0
10.50.211.217,27.0.236.54,6,55622,443,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.0206241607666015,0
27.0.236.54,10.50.211.217,6,443,55623,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0,0
10.50.211.217,27.0.236.54,6,55623,443,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.020808458328247,0
27.0.236.54,10.50.211.217,6,443,55621,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,298,0.0126702785491943,0
27.0.236.54,10.50.211.217,6,443,55620,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,298,0.0209133625030517,0
10.50.211.217,27.0.236.54,6,55621,443,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,187,0.0118007659912109,0
10.50.211.217,27.0.236.54,6,55620,443,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,187,0.0150601863861083,0
27.0.236.54,10.50.211.217,6,443,55622,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,298,0.0200660228729248,0
27.0.236.54,10.50.211.217,6,443,55623,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,298,0.0193712711334228,0
27.0.236.54,10.50.211.217,6,443,55621,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0021870136260986,0
